"Time","opctyngppri01 : Actives"
2022-05-17 02:00:00,1760
2022-05-17 05:00:00,1013
2022-05-17 08:00:00,1679
2022-05-17 11:00:00,3516
2022-05-17 14:00:00,3048
2022-05-17 17:00:00,2646
2022-05-17 20:00:00,861
2022-05-17 23:00:00,714
2022-05-18 02:00:00,1660
2022-05-18 05:00:00,725
2022-05-18 08:00:00,1693
2022-05-18 11:00:00,3548
2022-05-18 14:00:00,2958
2022-05-18 17:00:00,2595
2022-05-18 20:00:00,924
2022-05-18 23:00:00,743
2022-05-19 02:00:00,1670
2022-05-19 05:00:00,682
2022-05-19 08:00:00,1611
2022-05-19 11:00:00,3484
2022-05-19 14:00:00,3187
2022-05-19 17:00:00,2970
2022-05-19 20:00:00,984
2022-05-19 23:00:00,737
2022-05-20 02:00:00,1715
2022-05-20 05:00:00,1035
2022-05-20 08:00:00,1674
2022-05-20 11:00:00,3507
2022-05-20 14:00:00,2882
2022-05-20 17:00:00,2404
2022-05-20 20:00:00,865
2022-05-20 23:00:00,701
2022-05-21 02:00:00,1690
2022-05-21 05:00:00,920
2022-05-21 08:00:00,552
2022-05-21 11:00:00,918
2022-05-21 14:00:00,720
2022-05-21 17:00:00,676
2022-05-21 20:00:00,560
2022-05-21 23:00:00,613
2022-05-22 02:00:00,1637
2022-05-22 05:00:00,852
2022-05-22 08:00:00,351
2022-05-22 11:00:00,477
2022-05-22 14:00:00,405
2022-05-22 17:00:00,433
2022-05-22 20:00:00,447
2022-05-22 23:00:00,586
2022-05-23 02:00:00,1551
2022-05-23 05:00:00,639
2022-05-23 08:00:00,1742
2022-05-23 11:00:00,3611
2022-05-23 14:00:00,2998
2022-05-23 17:00:00,2896
2022-05-23 20:00:00,865
2022-05-23 23:00:00,669
2022-05-24 02:00:00,2787
2022-05-24 05:00:00,1539
2022-05-24 08:00:00,1687
2022-05-24 11:00:00,3732
2022-05-24 14:00:00,3060
2022-05-24 17:00:00,2722
2022-05-24 20:00:00,911
2022-05-24 23:00:00,658
2022-05-25 02:00:00,1705
2022-05-25 05:00:00,731
2022-05-25 08:00:00,1646
2022-05-25 11:00:00,3514
2022-05-25 14:00:00,2909
2022-05-25 17:00:00,2912
2022-05-25 20:00:00,1089
2022-05-25 23:00:00,743
2022-05-26 02:00:00,1648
2022-05-26 05:00:00,676
2022-05-26 08:00:00,540
2022-05-26 11:00:00,853
2022-05-26 14:00:00,683
2022-05-26 17:00:00,663
2022-05-26 20:00:00,600
2022-05-26 23:00:00,642
2022-05-27 02:00:00,1647
2022-05-27 05:00:00,928
2022-05-27 08:00:00,1149
2022-05-27 11:00:00,2131
2022-05-27 14:00:00,1688
2022-05-27 17:00:00,1514
2022-05-27 20:00:00,735
2022-05-27 23:00:00,630
2022-05-28 02:00:00,1660
2022-05-28 05:00:00,914
2022-05-28 08:00:00,531
2022-05-28 11:00:00,895
2022-05-28 14:00:00,712
2022-05-28 17:00:00,677
2022-05-28 20:00:00,584
2022-05-28 23:00:00,603
2022-05-29 02:00:00,1630
2022-05-29 05:00:00,894
2022-05-29 08:00:00,351
2022-05-29 11:00:00,494
2022-05-29 14:00:00,400
2022-05-29 17:00:00,454
2022-05-29 20:00:00,461
2022-05-29 23:00:00,600
2022-05-30 02:00:00,1608
2022-05-30 05:00:00,873
2022-05-30 08:00:00,2054
2022-05-30 11:00:00,3997
2022-05-30 14:00:00,3377
2022-05-30 17:00:00,2839
2022-05-30 20:00:00,941
2022-05-30 23:00:00,723
2022-05-31 02:00:00,1717
2022-05-31 05:00:00,901
2022-05-31 08:00:00,1919
2022-05-31 11:00:00,4884
2022-05-31 14:00:00,3939
2022-05-31 17:00:00,2906
2022-05-31 20:00:00,1008
2022-05-31 23:00:00,936
2022-06-01 02:00:00,2164
2022-06-01 05:00:00,701
2022-06-01 08:00:00,1727
